id	isolate	aliases	country	continent	region	state	species	year	source	detailed_source	collector	location	comments	bioproject_accession	biosample_accession	NCBI_assembly_accession	run_accession	sender	curator	date_entered	datestamp	BORR05565	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
1	B31		USA	North America	Long  Island	NY	Borrelia burgdorferi sensu stricto	1981	tick	Ixodes scapularis	A. Barbour							4	1	2015-01-29	2024-03-05	1	1	1	1	1	1	1	1	1	1
2	BL206		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	blood	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		1	1	1	1	1	1	1	1	1
3	B331		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		2	2	1	2	2	2	2	2	16
4	B356		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
5	B418		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
6	B500		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		2	2	4	2	2	2	2	2	15
7	B515		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		1	1	1	1	1	1	1	1	1
8	297		USA	North America	Massachusetts	MA	Borrelia burgdorferi sensu stricto		human	CSF	Steere et al. 1983							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
9	B509		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
10	B504		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
11	B373		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		6	1	5	1	1	7	1	8	7
12	MR623		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		6	1	5	1	1	7	1	8	7
13	MR654		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		10	5	4	6	1	6	1	6	9
14	B156		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
15	MR661		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		10	5	4	6	1	6	1	6	9
16	JD1		USA	North America	Massachusetts	MA	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis	J. Piesman							4	2	2015-01-29	2015-01-29		5	7	5	1	6	1	4	9	11
17	BL515		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		5	7	5	1	6	1	4	9	11
18	BL538		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		5	7	5	1	6	1	4	9	11
19	BL522		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
20	MR616		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		9	1	1	7	1	6	1	10	14
21	B361		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		2	2	1	2	2	2	2	2	16
22	B485		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
23	MR607		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
24	MR662		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
25	N40		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis	D. Persing							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
26	MR640		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
27	B348		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
28	CA-4	(ca92-0738)	USA	North America	Cloverdale CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	RS Lane							5	2	2015-01-29	2015-01-29		1	1	7	1	1	1	1	11	2
29	CA-5	(ca92-0739)	USA	North America	Cloverdale CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	RS Lane							5	2	2015-01-29	2015-01-29		1	1	7	1	1	1	1	11	2
30	CA-6	(ca92-0742)	USA	North America	Northern CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	RS Lane							5	2	2015-01-29	2015-01-29		1	1	7	1	1	1	1	11	2
31	ca92-0953		USA	North America	Briceland CA	CA	Borrelia burgdorferi sensu stricto		human	EM	RS Lane							5	2	2015-01-29	2015-01-29		11	1	8	1	1	6	4	12	6
32	ca92-1096		USA	North America	Sonoma CA	CA	Borrelia burgdorferi sensu stricto		human	EM	RS Lane							5	2	2015-01-29	2015-01-29		12	2	9	8	5	8	2	13	17
33	ca92-1337		USA	North America	Humboldt CA	CA	Borrelia burgdorferi sensu stricto		human	EM	RS Lane							5	2	2015-01-29	2015-01-29		3	3	2	4	3	6	4	4	13
34	WTB-27		USA	North America	Pt Reyes CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	J Piesman							5	2	2015-01-29	2015-01-29		11	1	1	9	7	6	4	14	5
35	WTB-32		USA	North America	Pt Reyes CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	J Piesman							5	2	2015-01-29	2015-01-29		5	5	4	5	8	5	6	6	10
36	IPT2		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
37	IPT23		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
38	IPT69		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
39	ITP190		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
40	IPT191		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
41	IPT19		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	10	1	10	21
42	IPT135		France	Europe	Auvergne		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	12	1	10	22
43	IPT137		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		16	1	11	1	1	1	1	10	23
44	IPT39		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		15	9	12	8	1	11	8	16	24
45	IPT58		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		15	9	12	8	1	11	8	16	24
46	IPT193		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		13	10	13	10	9	9	7	15	25
47	IPT198		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		13	10	13	10	9	9	7	15	25
48	NE49		Switzerland	Europe			Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	L. Gern							6	2	2015-01-29	2015-01-29		13	8	10	10	9	9	7	15	26
49	Z41293		Germany	Europe			Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	M. Wittenbrink							6	2	2015-01-29	2015-01-29		17	10	14	10	10	13	9	17	27
50	Z41493		Germany	Europe			Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	M. Wittenbrink							6	2	2015-01-29	2015-01-29		17	11	10	10	9	14	10	18	28
51	21509LT		Latvia	Europe	Riga district, Babite		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		14	1	11	1	1	10	1	10	21
52	20111LT		Latvia	Europe	Riga district, Babite		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		15	13	12	8	1	17	8	16	33
53	22521LT		Latvia	Europe	Riga district, Babite		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
54	20604LT		Latvia	Europe	Jurmala, Kemeri		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
55	Ly		Tanzania	Africa	Mvumi		Borrelia duttonii	1998	human	2 year old patient	Sally Cutler							2	2	2015-02-04	2015-02-05		61	164	148	170	178	187	156	174	101
56	DAH		USA	North America	western Washington	Washington	Borrelia hermsii	1996	human		Tom Schwan, Rocky Mountain Laboratories, Montana, USA		GenBank Accession no. NC_010673.1					2	2	2015-02-18	2015-02-18		68	165	149	171	179	188	157	175	104
57	91E135		USA	North America	southwestern USA		Borrelia turicatae	1996	tick		Tom Schwan, Rocky Mountain Laboratories, Montana, USA		GenBank accession NC_008710.1					2	2	2015-02-18	2015-02-18		71	166	150	172	180	189	158	176	116
58	PFiM		Germany	Europe	Munich	Bavaria	Borrelia garinii	1987	human	skin, EM	German National Reference Centre for Borrelia		EM					11	2	2015-02-19	2017-07-24		42	27	29	38	29	36	27	160	574
59	162/11b		Serbia	Europe	Belgrade area-Titov gaj		Borrelia lusitaniae	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.748645, 20.534786						30	2	2015-03-16	2015-03-16		101	22	20	123	176	118	155	172	628
60	163/11i		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		38	24	25	32	163	29	24	28	474
61	164/11a		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		36	24	23	34	85	29	23	28	121
62	164/11g		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia garinii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		42	27	29	38	40	36	27	33	132
63	167/11b		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia lusitaniae	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		101	22	20	123	176	118	155	172	628
64	167/11c		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia lusitaniae	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-08-12		74	173	147	47	51	186	48	27	136
65	B236		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1995	human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		8	1	1	7	1	6	1	10	34
66	BL131		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1994	human	blood	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		2	2	1	2	2	7	2	2	35
67	BL324		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	blood	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		10	5	4	6	1	15	1	6	36
68	CDC161		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1991	human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		8	1	1	7	1	6	1	10	34
69	MR730		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		7	6	12	1	1	5	5	5	37
70	MR731		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		7	6	12	1	1	5	5	5	37
71	B240		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1995	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		21	1	15	8	1	18	4	7	38
72	B267		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1995	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
73	B353		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1997	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
74	B477		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		21	1	15	8	1	18	4	7	38
75	B488		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
76	B516		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
77	B75		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1993	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		21	1	15	8	1	18	4	7	38
78	BL597		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2003	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
79	MR627		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2001	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
80	MR692		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2003	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		22	1	5	8	1	18	11	10	40
81	B491		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		1	1	1	1	1	1	1	1	1
82	167/11e		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		109	24	24	34	21	29	99	28	141
83	BL203		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1997	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		1	1	1	1	1	1	1	1	1
84	167/11f		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		36	150	23	85	57	27	23	28	144
85	BL268		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1999	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		1	1	1	1	1	1	1	1	1
86	B390		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1998	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
87	B435		USA	North America	Weestchester County	NY	Borrelia burgdorferi sensu stricto	1999	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
88	B483		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
89	168/11a		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		38	24	25	32	90	29	24	28	463
90	BL224		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1997	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
91	BL608		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2004	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
92	B395		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1998	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
93	168/11c		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		38	24	25	32	90	29	24	28	463
94	BL546		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2002	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
95	BL631		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
96	MR641		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2002	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
97	MR708		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
98	B471		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
99	B365		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1997	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		6	1	5	1	1	7	1	8	7
100	168/11g		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		109	94	24	34	21	29	99	28	335
101	B416		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1998	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		6	1	5	1	1	7	1	8	7
102	BL325		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2000	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		6	1	5	1	1	2	1	8	42
103	MR628		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2001	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		10	5	4	6	1	6	1	6	9
104	MR635		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2001	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		5	7	5	1	6	1	4	9	11
105	MR659		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2002	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
106	MR670		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2003	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
107	MR704		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
108	MR716		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
109	MR726		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
110	B268		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1995	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		9	1	1	7	1	6	1	10	14
111	B327		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1996	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		9	1	1	7	1	6	1	10	14
112	B369		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1997	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		9	1	1	7	1	6	1	10	14
113	B385		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1998	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		9	1	1	7	1	6	1	10	14
114	BL285		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1999	human	blood	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		8	1	1	7	1	6	1	10	34
115	BL630		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2005	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		9	1	1	7	1	6	1	10	14
116	B408		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1998	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		2	2	1	2	2	2	2	2	16
117	B143		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1994	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
118	B399		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1998	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
119	MR676		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	2003	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
120	32/12b		Serbia	Europe	Western Serbia-Arilje-Grivska		Borrelia afzelii	2012	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	43.747077, 20.101309						30	2	2015-03-16	2015-03-16		38	24	25	32	163	29	24	28	474
121	B351		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1997	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
122	B397		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1998	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
123	CDC146		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto	1991	human	EM	Lyme disease Diagnostic Center, Valhalla, NY							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
124	PoTiBGr41		Portugal	Europe	Grandola		Borrelia lusitaniae	2002	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		26	15	18	21	13	22	13	21	60
125	PoTiBGr82		Portugal	Europe	Grandola		Borrelia lusitaniae	2002	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		27	16	18	22	13	23	14	22	61
126	PoTiBGr130		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		27	17	18	22	13	23	14	22	62
127	PoTiBGr131		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		28	18	18	21	14	22	13	23	63
128	PoTiBGr136		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		29	19	18	23	14	24	15	24	64
129	PoTibGr409		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		29	19	18	23	14	24	15	24	64
130	PoTiBGr143		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		30	15	18	21	13	23	16	21	65
131	PoTiBGr211		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		30	15	18	21	13	23	16	21	65
132	PoTiBGr209		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		26	20	18	22	15	22	17	25	66
133	PoTiBGr213		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		26	20	18	22	15	22	17	25	66
134	PoTiBGr288		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		28	15	18	24	16	22	18	22	67
